Date,0
2021-03-31,
2021-04-30,
2021-05-31,
2021-06-30,
2021-07-31,
2021-08-31,0.059
2021-09-30,0.085
2021-10-31,0.097
2021-11-30,0.097
2021-12-31,0.094
2022-01-31,0.107
2022-02-28,0.104
2022-03-31,0.104
2022-04-30,0.135
2022-05-31,0.13
2022-06-30,0.152
2022-07-31,0.17
2022-08-31,0.173
2022-09-30,0.183
2022-10-31,0.185
2022-11-30,0.214
2022-12-31,0.212
2023-01-31,0.219
2023-02-28,0.22
2023-03-31,0.225
2023-04-30,0.206
2023-05-31,0.206
2023-06-30,0.185
2023-07-31,0.18
2023-08-31,0.173
2023-09-30,0.16
2023-10-31,0.156
2023-11-30,0.151
2023-12-31,0.148
2024-01-31,0.139
2024-02-29,0.129
2024-03-31,0.13
2024-04-30,0.133
2024-05-31,0.139
2024-06-30,0.138
2024-07-31,0.136
2024-08-31,0.13
2024-09-30,0.108
2024-10-31,0.106
2024-11-30,0.083
2024-12-31,0.099
2025-01-31,0.101
2025-02-28,0.104
2025-03-31,0.1
2025-04-30,0.098
2025-05-31,0.106
2025-06-30,0.123
2025-07-31,0.123
2025-08-31,0.124
2025-09-30,0.138
2025-10-31,0.135
2025-11-30,0.136
2025-12-31,0.12
2026-01-31,0.131
2026-02-28,0.119
